Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
59,Robert Woods (HOU),53.00,91.00,527.00,9.90,41.00,6.00,2.00, -   , -   , -   ,1.00,17.00,115.70,6.80,15%
60,Chris Moore (TEN),48.00,74.00,548.00,11.40,52.00,16.00,2.00,3.00,3.00, -   , -   ,15.00,115.10,7.70,0%
61,Noah Brown (HOU),43.00,74.00,555.00,12.90,51.00,12.00,3.00, -   , -   , -   ,1.00,16.00,114.50,7.20,0%
62,Greg Dortch (ARI),52.00,64.00,467.00,9.00,47.00,8.00,2.00,7.00,44.00, -   ,1.00,16.00,113.10,7.10,0%
63,Alec Pierce (IND),41.00,78.00,593.00,14.50,47.00,16.00,2.00, -   , -   , -   , -   ,16.00,112.30,7.00,2%
64,DeAndre Carter (LV),46.00,65.00,538.00,11.70,35.00,15.00,3.00,2.00,-15.00, -   ,2.00,17.00,112.30,6.60,0%
65,Olamide Zaccheaus (PHI),40.00,61.00,533.00,13.30,45.00,14.00,3.00,2.00,7.00, -   ,1.00,17.00,110.00,6.50,0%
66,Michael Gallup (DAL),39.00,74.00,424.00,10.90,27.00,4.00,4.00, -   , -   , -   , -   ,14.00,105.40,7.50,26%
67,Chase Claypool (MIA),46.00,79.00,451.00,9.80,31.00,8.00,1.00,9.00,59.00, -   ,1.00,15.00,105.00,7.00,6%
68,Josh Reynolds (DET),38.00,59.00,479.00,12.60,31.00,9.00,3.00, -   , -   , -   , -   ,12.00,103.90,8.70,31%
69,Demarcus Robinson (LAR),48.00,75.00,458.00,9.50,31.00,5.00,2.00, -   , -   , -   ,1.00,16.00,103.80,6.50,0%
70,DeVante Parker (NE),31.00,47.00,539.00,17.40,43.00,18.00,3.00, -   , -   , -   , -   ,13.00,102.90,7.90,2%
71,Romeo Doubs (GB),42.00,67.00,425.00,10.10,26.00,7.00,3.00,1.00,11.00, -   ,1.00,13.00,101.60,7.80,57%
72,Darnell Mooney (CHI),40.00,61.00,493.00,12.30,56.00,12.00,2.00,1.00,2.00, -   , -   ,11.00,101.50,9.20,24%
73,Rashid Shaheed (NO),28.00,34.00,488.00,17.40,68.00,19.00,2.00,4.00,57.00,1.00, -   ,12.00,100.50,8.40,27%
74,Isaiah Hodgins (NYG),37.00,48.00,392.00,10.60,29.00,4.00,4.00, -   , -   , -   ,1.00,9.00,100.20,11.10,2%
75,DJ Chark Jr. (CAR),30.00,52.00,502.00,16.70,51.00,17.00,3.00, -   , -   , -   , -   ,11.00,98.20,8.90,23%
76,Corey Davis (FA),32.00,64.00,536.00,16.80,66.00,13.00,2.00, -   , -   , -   , -   ,13.00,97.60,7.50,0%
77,Nico Collins (HOU),37.00,66.00,481.00,13.00,58.00,11.00,2.00, -   , -   , -   , -   ,10.00,97.10,9.70,90%
78,Mecole Hardman Jr. (KC),25.00,34.00,297.00,11.90,36.00,8.00,4.00,4.00,31.00,2.00, -   ,8.00,93.80,11.70,11%
79,Marquise Goodwin (CLE),27.00,42.00,387.00,14.30,38.00,10.00,4.00,2.00,5.00, -   , -   ,13.00,90.20,6.90,0%
80,Kendrick Bourne (NE),35.00,48.00,434.00,12.40,41.00,9.00,1.00,6.00,39.00, -   , -   ,16.00,88.30,5.50,35%
81,Treylon Burks (TEN),33.00,54.00,444.00,13.50,51.00,17.00,1.00,4.00,47.00, -   , -   ,11.00,88.10,8.00,28%
82,Elijah Moore (CLE),37.00,65.00,446.00,12.10,42.00,10.00,1.00,5.00,5.00, -   , -   ,16.00,88.10,5.50,49%
83,Rondale Moore (ARI),41.00,56.00,414.00,10.10,38.00,8.00,1.00,6.00,-5.00, -   , -   ,8.00,87.90,11.00,23%
84,Allen Robinson II (PIT),33.00,52.00,339.00,10.30,29.00,3.00,3.00, -   , -   , -   , -   ,10.00,84.90,8.50,3%
85,Quez Watkins (PHI),33.00,51.00,354.00,10.70,53.00,12.00,3.00,3.00,1.00, -   ,1.00,17.00,84.50,5.00,0%
86,Ben Skowronek (LAR),39.00,61.00,376.00,9.60,32.00,7.00, -   ,1.00,17.00,1.00, -   ,14.00,84.30,6.00,0%
87,Trent Sherfield (BUF),30.00,51.00,417.00,13.90,75.00,9.00,2.00, -   , -   , -   , -   ,16.00,83.70,5.20,0%
88,Terrace Marshall Jr. (CAR),28.00,47.00,490.00,17.50,43.00,17.00,1.00, -   , -   , -   , -   ,13.00,83.00,6.40,0%
89,Nick Westbrook-Ikhine (TEN),25.00,50.00,397.00,15.90,63.00,11.00,3.00, -   , -   , -   , -   ,16.00,82.70,5.20,1%
90,Jauan Jennings (SF),35.00,56.00,416.00,11.90,44.00,6.00,1.00, -   , -   , -   , -   ,16.00,82.60,5.20,2%
91,Randall Cobb (NYJ),34.00,50.00,417.00,12.30,40.00,10.00,1.00, -   , -   , -   , -   ,13.00,81.70,6.30,1%
92,Hunter Renfrow (LV),36.00,50.00,330.00,9.20,27.00,3.00,2.00, -   , -   , -   ,1.00,10.00,79.00,7.90,4%
93,Van Jefferson (ATL),24.00,44.00,369.00,15.40,39.00,9.00,3.00, -   , -   , -   , -   ,10.00,78.90,7.90,4%
94,Nelson Agholor (BAL),31.00,53.00,362.00,11.70,44.00,9.00,2.00, -   , -   , -   ,2.00,15.00,75.20,5.00,1%
95,Laviska Shenault Jr. (CAR),27.00,32.00,272.00,10.10,67.00,8.00,1.00,9.00,65.00,1.00, -   ,13.00,72.70,5.60,0%
96,Jamal Agnew (JAC),23.00,30.00,187.00,8.10,24.00,1.00,3.00,12.00,86.00, -   , -   ,15.00,72.30,4.80,1%
97,Julio Jones (PHI),24.00,43.00,299.00,12.50,48.00,6.00,2.00,5.00,45.00, -   , -   ,10.00,70.40,7.00,9%
98,Tyquan Thornton (NE),22.00,45.00,247.00,11.20,29.00,4.00,2.00,3.00,16.00,1.00, -   ,12.00,66.30,5.50,1%
99,Dante Pettis (FA),19.00,41.00,245.00,12.90,51.00,7.00,3.00,2.00,37.00, -   , -   ,17.00,65.20,3.80,0%
100,Equanimeous St. Brown (CHI),21.00,38.00,323.00,15.40,56.00,9.00,1.00,6.00,54.00, -   , -   ,16.00,64.70,4.00,0%
101,Trenton Irwin (CIN),15.00,23.00,231.00,15.40,45.00,6.00,4.00,1.00,11.00, -   , -   ,9.00,63.20,7.00,0%
102,Tutu Atwell (LAR),18.00,35.00,298.00,16.60,62.00,12.00,1.00,9.00,34.00,1.00, -   ,12.00,63.20,5.30,44%
103,Shi Smith (TEN),22.00,41.00,296.00,13.50,38.00,8.00,2.00, -   , -   , -   ,1.00,17.00,61.60,3.60,0%
104,A.J. Green (FA),24.00,47.00,236.00,9.80,77.00,4.00,2.00, -   , -   , -   , -   ,13.00,61.60,4.70,1%
105,Jarvis Landry (FA),25.00,39.00,272.00,10.90,40.00,5.00,1.00, -   , -   , -   , -   ,9.00,60.20,6.70,14%
106,Justin Watson (KC),15.00,34.00,315.00,21.00,67.00,12.00,2.00, -   , -   , -   , -   ,17.00,58.50,3.40,0%
107,Ray-Ray McCloud III (SF),14.00,25.00,243.00,17.40,42.00,8.00,1.00,4.00,78.00,1.00, -   ,17.00,58.10,3.40,2%
108,Braxton Berrios (MIA),18.00,32.00,145.00,8.10,25.00,2.00, -   ,9.00,91.00,2.00, -   ,17.00,57.70,3.40,4%
109,Kadarius Toney (KC),16.00,20.00,171.00,10.70,38.00,5.00,2.00,7.00,82.00,1.00,1.00,9.00,57.30,6.40,27%
110,Kendall Hinton (FA),24.00,33.00,311.00,13.00,35.00,8.00, -   ,2.00,13.00, -   , -   ,11.00,56.40,5.10,0%
111,Rashod Bateman (BAL),15.00,28.00,285.00,19.00,75.00,12.00,2.00, -   , -   , -   ,1.00,6.00,53.50,8.90,13%
112,Tre'Quan Smith (DEN),19.00,27.00,278.00,14.60,48.00,6.00,1.00, -   , -   , -   , -   ,10.00,52.80,5.30,0%
113,Robbie Chosen (MIA),20.00,44.00,282.00,14.10,75.00,7.00,1.00, -   , -   , -   ,1.00,12.00,52.20,4.40,0%
114,Damiere Byrd (ATL),13.00,23.00,268.00,20.60,75.00,8.00,2.00, -   , -   , -   , -   ,12.00,51.80,4.30,0%
115,Phillip Dorsett II (DEN),20.00,40.00,257.00,12.90,34.00,6.00,1.00, -   , -   , -   , -   ,15.00,51.70,3.40,0%
116,Wan'Dale Robinson (NYG),23.00,31.00,227.00,9.90,19.00, -   ,1.00,2.00,-1.00, -   , -   ,6.00,51.60,8.60,16%
117,Michael Thomas (NO),16.00,22.00,171.00,10.70,21.00,2.00,3.00, -   , -   , -   , -   ,3.00,51.10,17.00,83%
118,Brandon Powell (MIN),24.00,32.00,156.00,6.50,16.00, -   , -   ,17.00,80.00, -   , -   ,17.00,47.60,2.80,4%
119,Sammy Watkins (FA),16.00,27.00,325.00,20.30,55.00,15.00, -   , -   , -   , -   ,1.00,9.00,46.50,5.20,3%
120,David Bell (CLE),24.00,35.00,214.00,8.90,20.00,1.00, -   , -   , -   , -   , -   ,15.00,45.40,3.00,0%
121,Skyy Moore (KC),22.00,33.00,250.00,11.40,30.00,3.00, -   ,3.00,24.00, -   ,3.00,16.00,43.40,2.70,32%
122,Ashton Dulin (IND),15.00,22.00,207.00,13.80,39.00,3.00,1.00,2.00,8.00, -   , -   ,10.00,42.50,4.30,0%
123,Scott Miller (ATL),23.00,40.00,185.00,8.00,23.00,2.00, -   ,1.00,8.00, -   , -   ,12.00,42.30,3.50,0%
124,KhaDarel Hodge (ATL),13.00,20.00,202.00,15.50,39.00,3.00,1.00, -   , -   , -   , -   ,13.00,41.20,3.20,0%
