model_rank,independent_rank,adp,market_gap,independent_market_gap,round,player,position,position_rank,adp_position_rank,adp_position_label,decision_position_label,team,bye,injury,tier,signal,projected_points,projected_ppg_17,independent_points,independent_ppg,independent_expected_points,sleeper_projected_points,sleeper_ppg_17,projection_gap,projected_games,confidence,model_source,reason,team_pass_rank,team_rush_rank,team_pass_rate,own_pass_attempts,sleeper_pass_attempts,own_targets,sleeper_targets,own_carries,sleeper_carries,vbd,independent_vbd,games_2025,points_2025,ppg_2025,rank_2025,player_id,rush_attempts,rush_yards,rush_touchdowns,receptions,targets,receiving_yards,receiving_touchdowns,completions,pass_attempts,pass_yards,pass_touchdowns
146,122,232.2,86.2,110.2,20,Theo Johnson,TE,25,30,TE 30,TE 25,NYG,8,,Depth,Depth,118.2,7.0,140.4,8.26,106.5,77.0,4.53,63.4,12.9,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #19, rush volume #10",19,10,0.558,,,73.1,,0.0,,-26.6,-14.0,15,127.8,8.5,18,11597,,,,31.0,,340.0,2.0,,,,
202,192,232.5,30.5,40.5,20,Jaydon Blue,RB,62,66,RB 66,RB 62,DAL,14,Ques,Depth,Depth,68.1,4.0,101.5,5.97,50.2,57.0,3.35,44.5,8.4,Low,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #2, rush volume #20",2,20,0.586,,,21.4,,119.5,68.0,-54.1,-39.3,5,20.4,4.1,92,12457,68.0,289.0,2.0,9.0,,67.0,,,,,
191,207,232.7,41.7,25.7,20,Rashod Bateman,WR,81,85,WR 85,WR 81,BAL,13,,Depth,Depth,103.5,6.1,104.3,6.14,63.0,102.0,6.0,2.3,10.3,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #32, rush volume #1",32,1,0.497,,,57.1,,0.9,,-47.4,-45.9,13,55.4,4.3,103,7571,,,,36.0,,483.0,3.0,,,,
226,233,233.3,7.3,0.3,20,Ray Davis,RB,56,67,RB 67,RB 56,BUF,7,,Depth,Depth,82.1,4.8,91.4,5.37,65.2,65.0,3.82,26.4,12.1,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #28, rush volume #3",28,3,0.52,,,23.3,,81.7,73.0,-68.0,-63.8,17,64.1,3.8,61,11575,73.0,313.0,3.0,9.0,,68.0,,,,,
156,214,234.3,78.3,20.3,20,Gunnar Helm,TE,27,31,TE 31,TE 27,TEN,9,,Depth,Depth,114.2,6.7,98.4,5.79,78.5,130.0,7.65,-31.6,13.6,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #18, rush volume #30",18,30,0.589,,,60.2,,0.0,,-31.2,-48.4,16,91.7,5.7,31,12502,,,,57.0,,553.0,3.0,,,,
170,151,234.8,64.8,83.8,20,Keon Coleman,WR,68,86,WR 86,WR 68,BUF,7,Ques,Depth,Depth,125.3,7.4,146.4,8.61,103.1,86.0,5.06,60.4,12.0,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #28, rush volume #3",28,3,0.52,,,80.6,,1.8,3.0,-39.9,-23.8,13,102.4,7.9,60,11637,3.0,13.0,,29.0,,375.0,3.0,,,,
178,205,235.5,57.5,30.5,20,Ryan Flournoy,WR,71,87,WR 87,WR 71,DAL,14,,Depth,Depth,114.7,6.7,111.3,6.55,73.9,121.0,7.12,-9.7,11.3,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #2, rush volume #20",2,20,0.586,,,61.7,,3.5,2.0,-44.6,-45.7,15,114.0,7.6,57,11783,2.0,13.0,,47.0,,549.0,3.0,,,,
218,197,236.1,18.1,39.1,20,Shedeur Sanders,QB,31,31,QB 31,QB 31,CLE,11,,Depth,Depth,140.1,8.2,183.2,10.78,77.9,97.0,5.71,86.2,7.2,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #4, rush volume #26",4,26,0.596,426.8,226.0,,,58.8,26.0,-61.9,-41.9,8,95.0,11.9,37,12524,26.0,88.0,2.0,,,,,142.0,226.0,1433.0,7.0
228,226,236.5,8.5,10.5,20,Tua Tagovailoa,QB,29,32,QB 32,QB 29,ATL,11,,Depth,Depth,180.3,10.6,203.1,11.95,137.2,138.0,8.12,65.1,11.5,High,veteran,"Veteran model: 2025 form, prior-year trend and new team pass/run forecast; team pass volume #17, rush volume #5",17,5,0.545,486.9,308.0,,,29.4,20.0,-71.6,-53.5,14,175.6,12.5,25,6768,20.0,43.0,,,,,,209.0,308.0,2141.0,14.0
227,139,237.4,10.4,98.4,20,Audric Estime,RB,68,68,RB 68,RB 68,NO,8,Ques,Depth,Depth,54.1,3.2,147.5,8.67,85.1,23.0,1.35,124.5,9.8,Low,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #8, rush volume #22",8,22,0.58,,,40.0,,148.6,30.0,-71.2,-19.4,7,48.1,6.9,71,11579,30.0,119.0,1.0,3.0,,17.0,,,,,
200,217,237.7,37.7,20.7,20,Adonai Mitchell,WR,79,88,WR 88,WR 79,NYJ,13,,Depth,Depth,105.2,6.2,109.2,6.42,74.9,98.0,5.76,11.2,11.7,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #20, rush volume #28",20,28,0.583,,,68.0,,2.4,1.0,-52.7,-48.8,16,87.9,5.5,73,11625,1.0,10.0,,35.0,,443.0,3.0,,,,
169,157,237.9,68.9,80.9,20,Kayshon Boutte,WR,65,89,WR 89,WR 65,NE,11,,Depth,Depth,127.5,7.5,145.0,8.53,103.9,95.0,5.59,50.0,12.2,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #27, rush volume #12",27,12,0.551,,,77.9,,1.0,,-39.0,-25.2,14,124.1,8.9,51,9504,,,,31.0,,456.0,3.0,,,,
201,206,238.2,37.2,32.2,20,Jack Bech,WR,88,90,WR 90,WR 88,LV,13,,Depth,Depth,90.2,5.3,102.4,6.02,60.2,78.0,4.59,24.4,10.0,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #15, rush volume #32",15,32,0.606,,,62.4,,1.8,1.0,-53.9,-45.7,16,42.4,2.7,120,12483,1.0,9.0,,30.0,,350.0,2.0,,,,
180,172,239.6,59.6,67.6,20,Eli Stowers,TE,32,32,TE 32,TE 32,PHI,10,,Depth,Depth,88.5,5.2,111.2,6.54,78.1,81.0,4.76,30.2,11.9,Low,rookie,"Rookie model: pick 54, age and destination-team environment; team pass volume #31, rush volume #2",31,2,0.515,,,0.0,,0.0,2.0,-45.3,-33.4,,,,,13349,2.0,5.0,,31.0,,319.0,3.0,,,,
